Operator Xbee Test
Retrying send

<< $U1,252,U2,302!
 
<< $M3,9387,H1,113!
 
<< $I1,870,I2,859!
 
<< $I3,795,I4,808!
 
<< $I5,833,T1,27!
 
<< $A1,9008,A2,9007!
 
<< $A3,100,O1,21!
 
<< $O2,9079,O3,73!
 
<< $F1,219,F2,313!
 
<< $U1,218,U2,271!
 
<< $M1,305,M2,9132!
 
<< $M3,9389,H1,113!
 
<< $I1,862,I2,848!
 
<< $I3,780,I4,842!
 
<< $I5,850,T1,27!
 
<< $A1,9009,A2,9007!
 
<< $A3,100,O1,69!
 
<< $O2,9079,O3,63!
 
<< $F1,251,F2,229!
 
<< $U1,224,U2,252!
 
<< $M1,305,M2,9131!
 
<< $M3,9388,H1,113!
 
<< $I1,831,I2,860!
 
<< $I3,792,I4,794!
 
<< $I5,780,T1,27!
 
<< $A1,9020,A2,9010!
 
<< $A3,101,O1,9938!
 
<< $O2,9311,O3,1827!
 
<< $F1,222,F2,215!
 
<< $U1,229,U2,333!
 
<< $M1,280,M2,9180!
 
<< $M3,9362,H1,113!
 
<< $I1,858,I2,853!
 
<< $I3,810,I4,834!
 
<< $I5,826,T1,27!
 
<< $A1,9006,A2,0!
 
<< $A3,100,O1,173!
 
<< $O2,9614,O3,9652!
 
<< $F1,151,F2,252!
 
<< $U1,275,U2,190!
 
<< $M1,296,M2,9161!
 
<< $M3,9357,H1,113!
 
<< $I1,838,I2,850!
 
<< $I3,798,I4,831!
 
<< $I5,778,T1,27!
 
<< $A1,9003,A2,3!
 
<< $A3,94,O1,9054!
 
<< $O2,9222,O3,123!
 
<< $F1,149,F2,227!
 
<< $U1,297,U2,289!
 
<< $M1,286,M2,9166!
 
<< $M3,9362,H1,113!
 
<< $I1,863,I2,849!
 
<< $I3,746,I4,787!
 
<< $I5,821,T1,27!
 
<< $A1,9005,A2,4!
 
<< $A3,97,O1,9131!
 
<< $O2,9077,O3,122!
 
<< $F1,236,F2,295!
 
<< $U1,183,U2,252!
 
<< $M1,281,M2,9170!
 
<< $M3,9367,H1,113!
 
<< $I1,846,I2,849!
 
<< $I3,809,I4,805!
 
<< $I5,806,T1,27!
 
<< $A1,9002,A2,2!
 
<< $A3,100,O1,256!
 
<< $O2,9057,O3,9077!
 
<< $F1,263,F2,188!
 
<< $U1,232,U2,214!
 
<< $M1,286,M2,9162!
 
<< $M3,9365,H1,113!
 
<< $I1,866,I2,856!
 
<< $I3,786,I4,786!
 
<< $I5,773,T1,27!
 
<< $A1,9006,A2,9002!
 
<< $A3,100,O1,308!
 
<< $O2,9030,O3,138!
 
<< $F1,176,F2,180!
 
<< $U1,234,U2,245!
 
<< $M1,281,M2,9168!
 
<< $M3,9365,H1,113!
 
<< $I1,843,I2,855!
 
<< $I3,735,I4,792!
 
<< $I5,833,T1,27!
 
<< $A1,9004,A2,8!
 
<< $A3,103,O1,9345!
 
<< $O2,32,O3,9062!
 
<< $F1,255,F2,287!
 
<< $U1,218,U2,232!
 
<< $M1,287,M2,9157!
 
<< $M3,9369,H1,113!
 
<< $I1,828,I2,859!
 
<< $I3,778,I4,791!
 
<< $I5,795,T1,27!
 
<< $A1,9001,A2,9002!
 
<< $A3,102,O1,350!
 
<< $O2,10173,O3,9374!
 
<< $F1,220,F2,227!
 
<< $U1,219,U2,159!
 
<< $M1,311,M2,9135!
 
<< $M3,9359,H1,113!
 
<< $I1,849,I2,852!
 
<< $I3,809,I4,792!
 
<< $I5,836,T1,27!
 
<< $A1,9005,A2,0!
 
<< $A3,97,O1,178!
 
<< $O2,49,O3,25!
 
<< $F1,323,F2,295!
 
<< $U1,200,U2,258!
 
<< $M1,302,M2,9151!
 
<< $M3,9361,H1,113!
 
<< $I1,829,I2,844!
 
<< $I3,795,I4,831!
 
